,Names (EN),Description (EN),Bill Sponsor,Status,Adam Vaughan,Alain Giguere,Alex Atamanenko,Alexandre Boulerice,Alexandrine Latendresse,Alice Wong,Andre Bellavance,Andrew Cash,Andrew Saxton,Andrew Scheer,Anne Marie Day,Anne Minh Thu Quach,Annick Papillon,Arnold Chan,Bal Gosal,Barry Devolin,Ben Lobb,Bernard Trottier,Bernard Valcourt,Bev Oda,Bev Shipley,Blaine Calkins,Blake Richards,Bob Dechert,Bob Rae,Bob Zimmer,Brad Butt,Bradley Trost,Brent Rathgeber,Brian Jean,Brian Masse,Brian Storseth,Bruce Hyer,Bruce Stanton,Bryan Hayes,Candice Hoeppner,Carol Hughes,Carolyn Bennett,Cathy Mcleod,Charlie Angus,Charmaine Borg,Cheryl Gallant,Chris Alexander,Chris Charlton,Chris Warkentin,Christian Paradis,Christine Moore,Chrystia Freeland,Chungsen Leung,Claude Gravelle,Claude Patry,Colin Carrie,Colin Mayes,Corneliu Chisu,Costas Menegakis,Craig Scott,Dan Albas,Dan Harris,Dany Morin,Daryl Kramp,Dave Mackenzie,Dave Van Kesteren,David Anderson,David Christopherson,David Mcguinty,David Sweet,David Tilson,David Wilks,David Yurdiga,Dean Allison,Dean Del Mastro,Deepak Obhrai,Denis Blanchette,Denis Coderre,Denis Lebel,Denise Savoie,Dennis Bevington,Devinder Shory,Diane Ablonczy,Diane Finley,Dick Harris,Djaouida Sellah,Dominic Leblanc,Don Davies,Earl Dreeshen,Ed Fast,Ed Holder,Ed Komarnicki,Elaine Michaud,Elizabeth May,Emmanuel Dubourg,Erin Otoole,Eve Adams,Eve Peclet,Fin Donnelly,Francine Raynault,Francis Scarpaleggia,Francois Choquette,Francois Lapointe,Francois Pilon,Francoise Boivin,Frank Valeriote,Gail Shea,Garry Breitkreuz,Gary Goodyear,Gary Schellenberger,Geoff Regan,Gerald Keddy,Gerry Byrne,Gerry Ritz,Glenn Thibeault,Gord Brown,Gordon Oconnor,Greg Kerr,Greg Rickford,Guy Caron,Guy Lauzon,Harold Albrecht,Hedy Fry,Helene Laverdiere,Helene Leblanc,Hoang Mai,Irene Mathyssen,Irwin Cotler,Isabelle Morin,Jack Harris,Jacques Gourde,James Bezan,James Lunney,James Moore,James Rajotte,Jamie Nicholls,Jasbir Sandhu,Jason Kenney,Jay Aspin,Jean Crowder,Jean Francois Fortin,Jean Francois Larose,Jean Rousseau,Jeff Watson,Jim Eglinski,Jim Flaherty,Jim Hillyer,Jim Karygiannis,Jinny Sims,Joan Crockatt,Joe Comartin,Joe Daniel,Joe Oliver,Joe Preston,John Baird,John Barlow,John Carmichael,John Duncan,John Mccallum,John Mckay,John Rafferty,John Weston,John Williamson,Jonathan Genest Jourdain,Jonathan Tremblay,Jose Nunez Melo,Joy Smith,Joyce Bateman,Joyce Murray,Judy Foote,Judy Sgro,Julian Fantino,Justin Trudeau,Keith Ashfield,Kellie Leitch,Kelly Block,Kennedy Stewart,Kerry Lynne Findlay,Kevin Lamoureux,Kevin Sorenson,Kirsty Duncan,Kyle Seeback,Larry Maguire,Larry Miller,Laurie Hawn,Laurin Liu,Lavar Payne,Lawrence Macaulay,Lawrence Toet,Lee Richardson,Leon Benoit,Leona Aglukkaq,Libby Davies,Linda Duncan,Lisa Raitt,Lise St Denis,Lois Brown,Louis Plamondon,Lynne Yelich,Lysane Blanchette Lamothe,Malcolm Allen,Manon Perreault,Marc Andre Morin,Marc Garneau,Maria Mourani,Marie Claude Morin,Marjolaine Boutin Sweet,Mark Adler,Mark Eyking,Mark Strahl,Mark Warawa,Massimo Pacetti,Mathieu Ravignat,Matthew Dube,Matthew Kellway,Maurice Vellacott,Mauril Belanger,Maxime Bernier,Megan Leslie,Merv Tweed,Michael Chong,Michelle Rempel,Mike Allen,Mike Lake,Mike Sullivan,Mike Wallace,Murray Rankin,Mylene Freeman,Nathan Cullen,Niki Ashton,Nina Grewal,Nycole Turmel,Olivia Chow,Parm Gill,Pat Martin,Pat Perkins,Patricia Davidson,Patrick Brown,Paul Calandra,Paul Dewar,Paulina Ayala,Peggy Nash,Peter Braid,Peter Goldring,Peter Julian,Peter Kent,Peter Mackay,Peter Penashue,Peter Stoffer,Peter Van Loan,Phil Mccoleman,Philip Toone,Pierre Dionne Labelle,Pierre Jacob,Pierre Lemieux,Pierre Luc Dusseault,Pierre Nantel,Pierre Poilievre,Ralph Goodale,Randall Garrison,Randy Hoback,Randy Kamp,Rathika Sitsabaiesan,Ray Boughen,Raymond Cote,Rejean Genest,Rick Dykstra,Rick Norlock,Rob Anders,Rob Clarke,Rob Merrifield,Rob Moore,Rob Nicholson,Robert Aubin,Robert Chisholm,Robert Goguen,Robert Sopuck,Rod Bruinooge,Rodger Cuzner,Rodney Weston,Romeo Saganash,Ron Cannan,Rona Ambrose,Rosane Dore Lefebvre,Roxanne James,Royal Galipeau,Russ Hiebert,Ruth Ellen Brosseau,Ryan Cleary,Ryan Leef,Sadia Groguhe,Sana Hassainia,Scott Andrews,Scott Armstrong,Scott Brison,Scott Reid,Scott Simms,Sean Casey,Shelly Glover,Stella Ambler,Stephane Dion,Stephen Harper,Stephen Woodworth,Steven Blaney,Steven Fletcher,Susan Truppe,Sylvain Chicoine,Tarik Brahmi,Ted Falk,Ted Hsu,Ted Menzies,Ted Opitz,Terence Young,Thomas Mulcair,Tilly Oneill Gordon,Tim Uppal,Tom Lukiwski,Tony Clement,Tyrone Benskin,Vic Toews,Wai Young,Wayne Easter,Wayne Marston,Wladyslaw Lizon,Yvon Godin,Yvonne Jones
C-47,"Miscellaneous Statute Law Amendment Act, 2014","An Act to correct certain anomalies, inconsistencies and errors and to deal with other matters of a non-controversial and uncomplicated nature in the Statutes of Canada and to repeal certain provisions that have expired, lapsed or otherwise ceased to have effect",Peter Mackay,Second reading (Senate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-470,,An Act respecting democratic constitutional change,Craig Scott,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-471,Tamil Heritage Month Act,An Act to designate the month of January as Tamil Heritage Month,Rathika Sitsabaiesan,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-472,,An Act to amend the Canadian Forces Members and Veterans Re-establishment and Compensation Act (death benefit for parents),Peter Stoffer,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-473,,An Act to amend the Financial Administration Act (balanced representation),Anne Marie Day,Defeated,,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Didn't vote,Yes,Yes,Yes,,Didn't vote,No,No,No,No,,No,No,No,No,,No,No,No,No,Didn't vote,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Didn't vote,No,No,Yes,No,Didn't vote,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,,No,Didn't vote,No,Yes,,No,,Yes,No,No,No,No,Yes,Yes,Didn't vote,No,No,Didn't vote,No,Yes,Didn't vote,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Didn't vote,Yes,No,No,No,No,Didn't vote,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Didn't vote,No,No,Didn't vote,Yes,Yes,Yes,No,,No,No,Yes,Yes,No,Yes,Didn't vote,No,No,No,,No,No,Yes,Yes,Yes,No,No,Yes,Didn't vote,Yes,No,No,Yes,Didn't vote,Yes,No,Didn't vote,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Didn't vote,No,Yes,No,,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,No,Yes,No,Didn't vote,Didn't vote,Yes,Yes,Yes,No,Yes,No,Yes,,No,No,No,No,Yes,No,Yes,Yes,Didn't vote,Yes,No,Yes,Yes,No,Yes,,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Didn't vote,No,Yes,Yes,No,No,No,No,Didn't vote,No,No,Didn't vote,Yes,No,No,No,Yes,No,Yes,Didn't vote,No,Yes,No,No,Didn't vote,Yes,Didn't vote,No,Yes,Didn't vote,Yes,No,Didn't vote,No,Yes,Yes,No,No,Yes,No,No,No,Didn't vote,No,Yes,Yes,No,Yes,,No,No,Yes,No,No,No,No,Yes,,No,Yes,Yes,No,Yes,Yes
C-474,"Transparency of Payments Made by Mining, Oil and Gas Corporations to Foreign Governments Act","An Act respecting the promotion of financial transparency, improved accountability and long-term economic sustainability through the public reporting of payments made by mining, oil and gas corporations to foreign governments",John Mckay,Defeated,,Yes,Didn't vote,Yes,Yes,No,Didn't vote,Yes,No,Didn't vote,Yes,Yes,Didn't vote,,No,No,No,No,No,,No,No,No,No,,No,No,No,Yes,,Yes,No,Yes,No,No,No,Didn't vote,Yes,No,Yes,Didn't vote,No,No,Yes,No,No,Didn't vote,Didn't vote,No,Didn't vote,Yes,No,No,Didn't vote,No,Yes,No,Yes,Yes,No,No,No,Didn't vote,Yes,Yes,No,Didn't vote,No,,No,Didn't vote,Didn't vote,Yes,,No,,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,No,Didn't vote,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,Didn't vote,Didn't vote,,Yes,No,Yes,No,Didn't vote,No,No,,No,No,Yes,Yes,Yes,No,No,Yes,Didn't vote,Yes,No,No,Yes,Didn't vote,Didn't vote,Didn't vote,Yes,No,No,No,Yes,No,Yes,No,Yes,Didn't vote,No,No,No,Yes,No,Yes,No,,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Didn't vote,Yes,,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Didn't vote,,No,Yes,,No,No,No,Yes,Yes,Yes,No,No,Yes,Didn't vote,No,,Didn't vote,No,No,Yes,Yes,Yes,No,Yes,Didn't vote,No,Yes,Didn't vote,No,No,Yes,No,Yes,Yes,No,No,Didn't vote,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Didn't vote,Didn't vote,No,Didn't vote,No,Yes,Didn't vote,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,,No,No,Yes,No,No,No,Didn't vote,Didn't vote,,No,Yes,Yes,No,Yes,Yes
C-475,,An Act to amend the Personal Information Protection and Electronic Documents Act (order-making power),Charmaine Borg,Defeated,,Yes,Yes,Yes,Didn't vote,No,Yes,Yes,No,Didn't vote,Yes,Yes,Yes,,No,No,No,No,No,,No,No,No,No,,No,No,No,Didn't vote,Didn't vote,Yes,Didn't vote,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Didn't vote,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,,No,Didn't vote,Didn't vote,Yes,,No,,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,No,No,Yes,Yes,No,Yes,Didn't vote,No,No,No,,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,,No,No,Didn't vote,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,No,Yes,No,Didn't vote,Yes,Yes,Yes,Yes,No,Yes,No,Yes,,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Didn't vote,Yes,Didn't vote,No,Yes,,Didn't vote,No,No,Yes,Yes,Yes,No,Didn't vote,Yes,No,No,,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Didn't vote,No,No,No,Yes,Didn't vote,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Didn't vote,Yes,No,Yes,No,Yes,Didn't vote,No,Didn't vote,Yes,No,No,No,No,No,Yes,Didn't vote,No,Yes,,No,No,Yes,No,No,No,No,Yes,,No,Yes,Yes,No,Yes,Didn't vote
C-477,Organ Donor Registry Act,An Act to establish the Pan-Canadian Organ Donor Registry and to coordinate and promote organ donation throughout Canada,Malcolm Allen,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-478,Respecting Families of Murdered and Brutalized Persons Act,An Act to amend the Criminal Code (increasing parole ineligibility),James Bezan,Dead,,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Yes,Yes,Didn't vote,Yes,Didn't vote,Didn't vote,Didn't vote,Didn't vote,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Didn't vote,Didn't vote,Yes,Didn't vote,Yes,Didn't vote,Yes,Yes,Yes,Didn't vote,Didn't vote,Yes,Didn't vote,Didn't vote,Didn't vote,Yes,Didn't vote,Yes,Yes,Didn't vote,,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Didn't vote,Didn't vote,Yes,Yes,Yes,Yes,Didn't vote,Didn't vote,Yes,Yes,Yes,,Yes,Yes,Yes,Didn't vote,,Yes,,Didn't vote,Yes,Didn't vote,Didn't vote,Yes,Didn't vote,Didn't vote,Didn't vote,Yes,Yes,Yes,Yes,Didn't vote,Didn't vote,,Yes,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Yes,Yes,Yes,Didn't vote,Didn't vote,Yes,Didn't vote,Yes,Didn't vote,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Yes,Yes,Yes,Yes,Yes,Didn't vote,Didn't vote,Yes,Yes,Didn't vote,Yes,Didn't vote,Didn't vote,Yes,,Yes,Yes,Didn't vote,Didn't vote,Yes,Didn't vote,Yes,Yes,Yes,Yes,,Yes,Yes,Didn't vote,Didn't vote,Didn't vote,Yes,Yes,Didn't vote,Didn't vote,Didn't vote,Yes,Yes,Didn't vote,Didn't vote,Didn't vote,Yes,Didn't vote,Yes,Yes,Yes,Didn't vote,Yes,Didn't vote,Didn't vote,Didn't vote,Yes,,Yes,Yes,Didn't vote,Yes,Didn't vote,Yes,,Yes,Yes,Didn't vote,Didn't vote,Yes,Didn't vote,Yes,Yes,Yes,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Yes,Didn't vote,Didn't vote,Yes,Didn't vote,Yes,Yes,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Yes,Didn't vote,Didn't vote,Yes,Didn't vote,,Yes,Yes,Yes,Didn't vote,Didn't vote,Didn't vote,Yes,Didn't vote,Didn't vote,Yes,Didn't vote,,Didn't vote,Yes,Yes,Didn't vote,Didn't vote,Didn't vote,Yes,Didn't vote,Didn't vote,Yes,Didn't vote,Didn't vote,Didn't vote,Yes,Didn't vote,Yes,Didn't vote,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Didn't vote,Yes,Yes,Yes,Didn't vote,Yes,Didn't vote,Yes,Yes,Didn't vote,Yes,Yes,Yes,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Yes,Didn't vote,Yes,Didn't vote,Didn't vote,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Didn't vote,Didn't vote,,Didn't vote,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Didn't vote,Didn't vote,Yes,Didn't vote,Didn't vote
C-479,An Act to Bring Fairness for the Victims of Violent Offenders,An Act to amend the Corrections and Conditional Release Act (fairness for victims),David Sweet,In committee (Senate),,Yes,Yes,Yes,Yes,Yes,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Yes,Yes,Yes,,Yes,Yes,Yes,Didn't vote,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Didn't vote,Yes,,Yes,Didn't vote,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Didn't vote,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Didn't vote,Yes,Didn't vote,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Didn't vote,Yes,Yes,Yes
C-48,Modernization of Canada's Grain Industry Act,An Act to amend the Canada Grain Act and to make consequential amendments to other Acts,Gerry Ritz,Second reading (House),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-481,An Act to amend the Federal Sustainable Development Act (duty to examine),An Act to amend the Federal Sustainable Development Act (duty to examine),Pierre Jacob,Defeated,,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Didn't vote,Yes,Yes,Yes,,Didn't vote,No,No,No,No,,No,Didn't vote,No,No,,No,No,No,No,Didn't vote,Didn't vote,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,,No,No,Didn't vote,Yes,,No,,Yes,No,No,No,No,Yes,Yes,Yes,No,Didn't vote,No,No,Yes,Yes,Yes,No,No,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Didn't vote,Didn't vote,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,No,No,No,No,No,Yes,Didn't vote,No,No,Yes,Yes,Yes,Yes,No,,Didn't vote,No,Yes,Didn't vote,No,Yes,No,No,No,Didn't vote,,No,No,Yes,Didn't vote,Yes,No,No,Didn't vote,Yes,Yes,No,No,Yes,Didn't vote,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,,No,No,Yes,Yes,No,Yes,No,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Didn't vote,Yes,Yes,Yes,Yes,No,Yes,No,Yes,,No,No,No,No,Yes,No,Yes,Yes,Yes,Didn't vote,No,Yes,Yes,Didn't vote,Yes,,No,No,No,Didn't vote,Yes,Yes,No,No,Yes,No,No,,Didn't vote,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Didn't vote,Yes,No,No,Yes,No,Yes,Yes,Didn't vote,No,No,No,Didn't vote,No,Didn't vote,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Didn't vote,Yes,No,Didn't vote,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,,No,No,Yes,No,No,No,No,Yes,,Didn't vote,Yes,Yes,No,Yes,Yes
C-482,,An Act to amend the Criminal Code (telecommunication device identifier),Mike Sullivan,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
